miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000707,2.7578163265306124,2.6732889487870617,-0.044910591913591924,0.06146695700125891,1.8701214314265482,
MIMAT0000710,6.9589795918367345,7.106654986522909,0.03029488460747176,0.11607166011094588,-1.5714780023035273,
MIMAT0000720,3.706612244897959,2.3315038147138964,-0.6688404100732872,,,
MIMAT0000721,3.443,2.975951351351352,-0.21031523837916066,,,
MIMAT0000722,3.1682857142857137,2.4495289189189187,-0.37119811869000974,,,
MIMAT0000723,0.3286444444444444,1.2678725490196077,1.9478102256244751,,,
MIMAT0000724,0.5983297297297296,1.329490557939914,1.1518608768622023,,,
MIMAT0000725,0.6043,0.9994285714285714,0.7258385200517397,,,
MIMAT0000726,0.48430434782608694,1.4127030534351144,1.5444723868780017,,,
MIMAT0000727,5.431408163265306,5.44845283018868,0.004520329179976468,0.992007413127539,0.010017389656118102,
MIMAT0000728,12.352897959183672,10.442172506738546,-0.24242763658952438,9.69329007287758e-08,5.332381731322367,
MIMAT0000729,1.2567166666666667,1.3109943859649122,0.06100208426940412,,,
MIMAT0000730,1.3188428571428572,1.16487491638796,-0.1790976273125887,,,
MIMAT0000731,8.16091836734694,6.601679245283019,-0.3058984669262559,7.454210662932835e-19,8.86789419307855,
MIMAT0000732,10.516775510204083,9.334353099730459,-0.17207048807214065,2.216655048390682e-11,6.690990203433385,
MIMAT0000733,10.344142857142858,8.681469002695417,-0.2528030159000729,1.2013676737453585e-14,7.715894382624968,
MIMAT0000734,0.9531382978723404,1.1099348754448397,0.2197175643522437,,,
MIMAT0000735,0.5301515151515152,0.8822230000000001,0.7347386377160801,,,
MIMAT0000736,6.07969387755102,5.0224380053908355,-0.2756108323416293,8.131076335390688e-11,6.498155452553111,
MIMAT0000737,4.111367346938775,3.5453396226415093,-0.21369444538553117,3.201344384037555e-06,4.6574601032414105,
MIMAT0000738,2.895177551020408,1.7535830508474577,-0.7233460671268286,,,
MIMAT0000750,3.9980816326530615,3.7050916442048516,-0.1097987017138633,0.00019905870411575084,3.72020808354086,
MIMAT0000751,1.6507645833333333,1.4723599447513813,-0.16500398404609928,,,
MIMAT0000752,5.460959183673469,4.9232237196765505,-0.14955107427065029,1.8351652011692238e-07,5.2153034897164865,
MIMAT0000753,6.635448979591838,6.340134770889488,-0.06568057935430538,0.03291833556230248,2.133077909899648,
MIMAT0000754,5.738428571428571,4.3012999999999995,-0.41588296151438797,3.749806557050067e-14,7.569390058904241,
